"availability","brandGroupCode","brandImpl","colors","currency","discountPercentage","displayReference","familyName","id","imageUrl","kind","locale","name","oldPrice","position","price","productColor","reference","section","sectionName","subfamilyName","type"
"in_stock","zara","zara","1","USD","30","6318/237","WIND-JACKET","457759541","https://static.zara.net/assets/public/ade4/4e4e/402e4e839e11/e8252af15b69/04387251405-p/04387251405-p.jpg?ts=1756313132193&w={width}","Wear","en_US","FAUX SUEDE BOMBER JACKET","9990","100","69.93","Mustard","C06318237305001-I2025","1","WOMAN","B.SHORT-OUTWEAR","Product"
"in_stock","zara","zara","1","USD","40","4369/254","WIND-JACKET","463719207","https://static.zara.net/assets/public/fd69/5085/7dc04d14ae57/391e8caa854a/04369254401-p/04369254401-p.jpg?ts=1756987517944&w={width}","Wear","en_US","ZW COLLECTION CONTRAST COLLAR JACKET","12900","101","77.40","Navy blue","C04369254401000-I2025","1","WOMAN","W.SHORT-OUTWEAR","Product"
"in_stock","zara","zara","2","USD","58","3046/284","WIND-JACKET","461096092","https://static.zara.net/assets/public/760d/05ce/dbe44428b7a5/05a156286e88/03046284505-p/03046284505-p.jpg?ts=1756468751964&w={width}","Wear","en_US","FAUX SUEDE BIKER JACKET","9990","102","41.95","Khaki","C03046284505000-I2025","1","WOMAN","B.SHORT-OUTWEAR","Product"
"in_stock","zara","zara","2","USD","58","6318/256","WIND-JACKET","462153886","https://static.zara.net/assets/public/2e25/13cf/a2ed40ec9cb7/f344a9cc4399/06318256712-p/06318256712-p.jpg?ts=1756917154277&w={width}","Wear","en_US","FAUX SUEDE BOMBER JACKET","9990","103","41.95","Ecru","C06318256712000-I2025","1","WOMAN","B.SHORT-OUTWEAR","Product"
"in_stock","zara","zara","1","USD","30","4192/161","CARDIGAN","470327692","https://static.zara.net/assets/public/c05f/f603/9d5c4361b09d/761165063227/03322241700-p/03322241700-p.jpg?ts=1761842055517&w={width}","Wear","en_US","100% BOUCLÉ WOOL BOMBER JACKET","11900","104","83.30","Chocolate","C04192161717015-I2025","1","WOMAN","KNIT CARDIGAN","Product"
"in_stock","zara","zara","1","USD","30","1608/350","BLAZER","462991661","https://static.zara.net/assets/public/b2b5/c92c/06af49609a61/4ccdf052d57a/01608350716-p/01608350716-p.jpg?ts=1756917135609&w={width}","Wear","en_US","SAFARI JACKET WITH DRAWSTRING","6990","105","48.93","Dark brown","C01608350716000-I2025","1","WOMAN","B.BLAZER","Product"
"in_stock","zara","zara","1","USD","30","9076/217","BLAZER","483036715","https://static.zara.net/assets/public/abb5/33e7/65374e4cbc42/74d9113df97d/09076217099-p/09076217099-p.jpg?ts=1759934199035&w={width}","Wear","en_US","ANIMAL PRINT JACKET","8990","106","62.93","Black / Brown","C09076217099000-I2025","1","WOMAN","B.BLAZER","Product"
"in_stock","zara","zara","1","USD","40","8491/840","WIND-JACKET","484882531","https://static.zara.net/assets/public/c17e/094f/d8a24462bde3/bcdf50d15f56/08491840800-p/08491840800-p.jpg?ts=1762856917751&w={width}","Wear","en_US","WOOL BLEND JACKET ZW COLLECTION","12900","107","77.40","Black","C08491840800000-I2025","1","WOMAN","W.SHORT-OUTWEAR","Product"
"in_stock","zara","zara","1","USD","40","2488/206","TOPS AND OTHERS","455927948","https://static.zara.net/assets/public/8f8c/39e1/669546e290f7/c94c5e6a7c9b/02488206800-p/02488206800-p.jpg?ts=1762273776311&w={width}","Wear","en_US","EMBROIDERED VELVET PADDED JACKET","19900","108","119.40","Black","C02488206800000-I2025","1","WOMAN","Acce Cloth Hung","Product"
"in_stock","zara","zara","1","USD","40","8307/248","WIND-JACKET","481828575","https://static.zara.net/assets/public/97f1/3b9e/bce946b19fc8/887c7fee71ab/08307248428-p/08307248428-p.jpg?ts=1758723066955&w={width}","Wear","en_US","ZW COLLECTION CROPPED DENIM JACKET","7990","109","47.94","Faded blue","C08307248428000-I2025","1","WOMAN","W.SHORT-OUTWEAR","Product"
"in_stock","zara","zara","1","USD","40","5320/721","WIND-JACKET","463466973","https://static.zara.net/assets/public/96c7/8e84/053d441a8de1/7696bef6549e/05320721401-p/05320721401-p.jpg?ts=1758618008013&w={width}","Wear","en_US","WAXED CORDUROY COLLAR JACKET","12900","110","77.40","Navy blue","C05320721401000-I2025","1","WOMAN","T.LONG-OUTWEAR","Product"
"in_stock","zara","zara","1","USD","40","3736/272","COAT","506628375","https://static.zara.net/assets/public/d53d/4264/73f14bf5bf6a/713cbc53de29/03736272700-p/03736272700-p.jpg?ts=1764764002786&w={width}","Wear","en_US","WOOL BLEND FAUX FUR COLLAR JACKET ZW COLLECTION","16900","111","101.40","Brown","C03736272700000-I2025","1","WOMAN","W.SHORT-OUTWEAR","Product"
"in_stock","zara","zara","1","USD","40","4786/208","TOPS AND OTHERS","455893272","https://static.zara.net/assets/public/6861/6823/107042819a39/31a3ea97ba81/04786208710-p/04786208710-p.jpg?ts=1758037306020&w={width}","Wear","en_US","FLORAL EMBROIDERY JACKET","17900","112","107.40","Beige","C04786208710000-I2025","1","WOMAN","Acce Cloth Hung","Product"
"in_stock","zara","zara","1","USD","30","7995/734","WIND-JACKET","452743488","https://static.zara.net/assets/public/b4c6/d269/5d0f42a2ac55/2028893788c7/07995734406-p/07995734406-p.jpg?ts=1752069505744&w={width}","Wear","en_US","LINEN BOMBER JACKET","6990","113","48.93","Light blue","C07995734406000-I2025","1","WOMAN","B.SHORT-OUTWEAR","Product"
"in_stock","zara","zara","1","USD","58","1478/398","BLAZER","463637722","https://static.zara.net/assets/public/aaa3/764f/0d3842f8b9a0/ef35b153638b/01478398405-p/01478398405-p.jpg?ts=1756917124491&w={width}","Wear","en_US","CONTRAST STITCHING SHORT JACKET","7990","114","33.55","Indigo","C01478398405000-I2025","1","WOMAN","B.BLAZER","Product"
"in_stock","zara","zara","1","USD","30","9196/643","BLAZER","484882353","https://static.zara.net/assets/public/6805/fe40/3313403b816a/14b0c1d36969/09196643405-p/09196643405-p.jpg?ts=1759915322862&w={width}","Wear","en_US","HIGH-COLLAR BOMBER JACKET","7990","115","55.93","Indigo","C09196643405015-I2025","1","WOMAN","B.BLAZER","Product"
"in_stock","zara","zara","1","USD","40","8114/823","WIND-JACKET","457193577","https://static.zara.net/assets/public/1e09/0240/804147acafa4/4c575b9bc76b/08114823712-p/08114823712-p.jpg?ts=1753184955361&w={width}","Wear","en_US","ZW COLLECTION BUTTON-UP JACKET","14900","116","89.40","Ecru","C08114823712000-I2025","1","WOMAN","W.SHORT-OUTWEAR","Product"
"in_stock","zara","zara","1","USD","40","8491/265","WIND-JACKET","481472982","https://static.zara.net/assets/public/04b8/6e2b/a7cb46baa339/369e301b9068/08491265700-p/08491265700-p.jpg?ts=1762966903052&w={width}","Wear","en_US","WOOL ZW COLLECTION JACKET","12900","117","77.40","Brown","C08491265700000-I2025","1","WOMAN","W.SHORT-OUTWEAR","Product"
"in_stock","zara","zara","1","USD","40","0695/270","WIND-JACKET","481252763","https://static.zara.net/assets/public/cb07/9260/4a5e46669e21/40b0b6e9d037/00695270443-p/00695270443-p.jpg?ts=1762269454382&w={width}","Wear","en_US","STUDDED DENIM EFFECT JACKET","8990","118","53.94","Dark indigo","C00695270443015-I2025","1","WOMAN","T.SHORT-OUTWEAR","Product"
"in_stock","zara","zara","1","USD","30","3564/151","WIND-JACKET","459570332","https://static.zara.net/assets/public/4771/48b8/21bc430bb42b/f8ad0bc9907e/03564151681-p/03564151681-p.jpg?ts=1754650829554&w={width}","Wear","en_US","DRAWSTRING SAFARI JACKET","5990","119","41.93","Burgundy","C03564151681000-I2025","1","WOMAN","B.SHORT-OUTWEAR","Product"
"in_stock","zara","zara","1","USD","30","2893/125","CARDIGAN","453997702","https://static.zara.net/assets/public/aab3/316c/96504725b6fe/111ebb5bb65d/02893125704-p/02893125704-p.jpg?ts=1760088171546&w={width}","Wear","en_US","OVERSIZED WOOL BLEND JACKET","14900","120","104.30","taupe brown","C02893125704000-I2025","1","WOMAN","KNIT CARDIGAN","Product"
"in_stock","zara","zara","1","USD","40","4341/724","WIND-JACKET","461073923","https://static.zara.net/assets/public/a4f0/a79c/e0b649a7b232/7f98c964938e/04341724809-p/04341724809-p.jpg?ts=1755871819896&w={width}","Wear","en_US","HOODED JACKET","7990","121","47.94","Mid-gray","C04341724809015-I2025","1","WOMAN","T.SHORT-OUTWEAR","Product"
"in_stock","zara","zara","1","USD","40","1300/905","WIND-JACKET","468300789","https://static.zara.net/assets/public/6268/cef0/406742168fe1/f184692978ec/T9988350362-p/T9988350362-p.jpg?ts=1756218246109&w={width}","Wear","en_US","TRF DENIM JACKET","7990","122","47.94","Blue","C01300905400000-I2025","1","WOMAN","T.SHORT-OUTWEAR","Product"
"in_stock","zara","zara","2","USD","30","4387/380","BLAZER","463255866","https://static.zara.net/assets/public/eb6d/03ea/914e453c9129/b107b2a2c359/04387380803-p/04387380803-p.jpg?ts=1757605354523&w={width}","Wear","en_US","MARLED SAFARI JACKET","5990","123","41.93","Gray marl","C04387380803000-I2025","1","WOMAN","B.BLAZER","Product"
"in_stock","zara","zara","1","USD","40","5761/242","WIND-JACKET","462231386","https://static.zara.net/assets/public/9e12/71f2/c1864353b71b/ee95b444aa8c/05761242505-p/05761242505-p.jpg?ts=1756912655914&w={width}","Wear","en_US","100% LEATHER BOMBER JACKET ZW COLLECTION LIMITED EDITION","52900","124","317.40","Khaki","C05761242505003-I2025","1","WOMAN","W.SHORT-OUTWEAR","Product"
"in_stock","zara","zara","1","USD","40","3548/902","WIND-JACKET","477852778","https://static.zara.net/assets/public/dbbc/158e/058a412393c5/d1b9d538b9fc/03548902700-p/03548902700-p.jpg?ts=1764155638814&w={width}","Wear","en_US","DNM-WSHD JCKT","22900","125","137.40","Brown","C03548902700015-I2025","1","WOMAN","ST. P-EXT-CORTA","Product"
"in_stock","zara","zara","1","USD","40","8332/586","BLAZER","465271379","https://static.zara.net/assets/public/db8b/6b07/ec954e77ab94/66136923c1e2/08332586701-p/08332586701-p.jpg?ts=1754577337420&w={width}","Wear","en_US","ZW COLLECTION LINEN BLEND BOMBER","16900","126","101.40","Brick","C08332586701015-I2025","1","WOMAN","W.BLAZER","Product"
"in_stock","zara","zara","1","USD","40","5063/817","CARDIGAN","452740730","https://static.zara.net/assets/public/2dbe/7dd0/8d664b22b114/92f18fe6d336/05063817800-p/05063817800-p.jpg?ts=1755770645099&w={width}","Wear","en_US","SEAMLESS POLYAMIDE JACKET","4990","127","29.94","Black","C05063817800000-I2025","1","WOMAN","TRF. T-SHIRT","Product"
